date_utc,value,assets
2021-08-31 22:00:00+00:00,3.782,0.45
2021-08-31 22:15:00+00:00,3.531,0.45
2021-08-31 22:30:00+00:00,4.033,0.45
2021-08-31 22:45:00+00:00,3.7800000000000002,0.45
2021-08-31 23:00:00+00:00,3.512,0.45
2021-08-31 23:15:00+00:00,3.767,0.45
2021-08-31 23:30:00+00:00,3.67,0.45
2021-08-31 23:45:00+00:00,3.833,0.45
2021-09-01 00:00:00+00:00,3.7,0.45
2021-09-01 00:15:00+00:00,3.701,0.45
2021-09-01 00:30:00+00:00,3.591,0.45
2021-09-01 00:45:00+00:00,3.505,0.45
2021-09-01 01:00:00+00:00,3.476,0.45
2021-09-01 01:15:00+00:00,3.441,0.45
2021-09-01 01:30:00+00:00,3.561,0.45
2021-09-01 01:45:00+00:00,3.657,0.45
2021-09-01 02:00:00+00:00,3.649,0.45
2021-09-01 02:15:00+00:00,3.653,0.45
2021-09-01 02:30:00+00:00,3.797,0.45
2021-09-01 02:45:00+00:00,3.811,0.45
2021-09-01 03:00:00+00:00,3.823,0.45
2021-09-01 03:15:00+00:00,3.951,0.45
2021-09-01 03:30:00+00:00,4.67,0.45
2021-09-01 03:45:00+00:00,4.8020000000000005,0.45
2021-09-01 04:00:00+00:00,7.275,0.45
2021-09-01 04:15:00+00:00,11.995,0.45
2021-09-01 04:30:00+00:00,9.859,0.45
2021-09-01 04:45:00+00:00,10.349,0.45
2021-09-01 05:00:00+00:00,8.702,0.45
2021-09-01 05:15:00+00:00,8.792,0.45
2021-09-01 05:30:00+00:00,10.223,0.45
2021-09-01 05:45:00+00:00,9.517,0.45
2021-09-01 06:00:00+00:00,9.325,0.45
2021-09-01 06:15:00+00:00,7.7780000000000005,0.45
2021-09-01 06:30:00+00:00,8.484,0.45
2021-09-01 06:45:00+00:00,10.295,0.45
2021-09-01 07:00:00+00:00,11.065,0.45
2021-09-01 07:15:00+00:00,10.773,0.45
2021-09-01 07:30:00+00:00,10.019,0.45
2021-09-01 07:45:00+00:00,11.463,0.45
2021-09-01 08:00:00+00:00,12.439,0.45
2021-09-01 08:15:00+00:00,11.173,0.45
2021-09-01 08:30:00+00:00,10.684,0.45
2021-09-01 08:45:00+00:00,11.061,0.45
2021-09-01 09:00:00+00:00,10.801,0.45
2021-09-01 09:15:00+00:00,11.4,0.45
2021-09-01 09:30:00+00:00,11.768,0.45
2021-09-01 09:45:00+00:00,12.727,0.45
2021-09-01 10:00:00+00:00,12.737,0.45
2021-09-01 10:15:00+00:00,12.151,0.45
2021-09-01 10:30:00+00:00,10.099,0.45
2021-09-01 10:45:00+00:00,9.352,0.45
2021-09-01 11:00:00+00:00,9.936,0.45
2021-09-01 11:15:00+00:00,10.426,0.45
2021-09-01 11:30:00+00:00,10.417,0.45
