date_utc,value,assets
2021-08-31 22:00:00+00:00,7.116,0.25
2021-08-31 22:15:00+00:00,7.358,0.25
2021-08-31 22:30:00+00:00,7.695,0.25
2021-08-31 22:45:00+00:00,7.618,0.25
2021-08-31 23:00:00+00:00,7.297,0.25
2021-08-31 23:15:00+00:00,7.389,0.25
2021-08-31 23:30:00+00:00,7.731,0.25
2021-08-31 23:45:00+00:00,7.961,0.25
2021-09-01 00:00:00+00:00,8.064,0.25
2021-09-01 00:15:00+00:00,7.967,0.25
2021-09-01 00:30:00+00:00,8.078,0.25
2021-09-01 00:45:00+00:00,8.276,0.25
2021-09-01 01:00:00+00:00,8.027,0.25
2021-09-01 01:15:00+00:00,8.136,0.25
2021-09-01 01:30:00+00:00,7.649,0.25
2021-09-01 01:45:00+00:00,8.022,0.25
2021-09-01 02:00:00+00:00,8.115,0.25
2021-09-01 02:15:00+00:00,8.076,0.25
2021-09-01 02:30:00+00:00,8.459,0.25
2021-09-01 02:45:00+00:00,8.692,0.25
2021-09-01 03:00:00+00:00,8.556,0.25
2021-09-01 03:15:00+00:00,9.151,0.25
2021-09-01 03:30:00+00:00,11.475,0.25
2021-09-01 03:45:00+00:00,11.516,0.25
2021-09-01 04:00:00+00:00,16.886,0.25
2021-09-01 04:15:00+00:00,13.524,0.25
2021-09-01 04:30:00+00:00,13.629,0.25
2021-09-01 04:45:00+00:00,13.345,0.25
2021-09-01 05:00:00+00:00,15.972,0.25
2021-09-01 05:15:00+00:00,14.946,0.25
2021-09-01 05:30:00+00:00,15.397,0.25
2021-09-01 05:45:00+00:00,16.681,0.25
2021-09-01 06:00:00+00:00,19.05,0.25
2021-09-01 06:15:00+00:00,19.232,0.25
2021-09-01 06:30:00+00:00,17.942,0.25
2021-09-01 06:45:00+00:00,18.11,0.25
2021-09-01 07:00:00+00:00,18.1,0.25
2021-09-01 07:15:00+00:00,18.235,0.25
2021-09-01 07:30:00+00:00,20.263,0.25
2021-09-01 07:45:00+00:00,19.708000000000002,0.25
2021-09-01 08:00:00+00:00,20.629,0.25
2021-09-01 08:15:00+00:00,20.175,0.25
2021-09-01 08:30:00+00:00,18.805,0.25
2021-09-01 08:45:00+00:00,18.252,0.25
2021-09-01 09:00:00+00:00,19.422,0.25
2021-09-01 09:15:00+00:00,20.002,0.25
2021-09-01 09:30:00+00:00,21.741,0.25
2021-09-01 09:45:00+00:00,23.234,0.25
2021-09-01 10:00:00+00:00,22.897,0.25
2021-09-01 10:15:00+00:00,21.657,0.25
2021-09-01 10:30:00+00:00,22.17,0.25
2021-09-01 10:45:00+00:00,19.031,0.25
2021-09-01 11:00:00+00:00,19.947,0.25
2021-09-01 11:15:00+00:00,19.563,0.25
2021-09-01 11:30:00+00:00,18.925,0.25
2021-09-01 11:45:00+00:00,18.891,0.25
2021-09-01 12:00:00+00:00,19.87,0.25
2021-09-01 12:15:00+00:00,20.5,0.25
2021-09-01 12:30:00+00:00,20.895,0.25
2021-09-01 12:45:00+00:00,19.957,0.25
2021-09-01 13:00:00+00:00,19.123,0.25
2021-09-01 13:15:00+00:00,18.177,0.25
2021-09-01 13:30:00+00:00,18.303,0.25
2021-09-01 13:45:00+00:00,15.632,0.25
2021-09-01 14:00:00+00:00,15.747,0.25
2021-09-01 14:15:00+00:00,17.439,0.25
2021-09-01 14:30:00+00:00,16.852999999999998,0.25
2021-09-01 14:45:00+00:00,15.072,0.25
2021-09-01 15:00:00+00:00,15.608,0.25
2021-09-01 15:15:00+00:00,15.091,0.25
2021-09-01 15:30:00+00:00,14.829,0.25
2021-09-01 15:45:00+00:00,14.939,0.25
2021-09-01 16:00:00+00:00,13.855,0.25
2021-09-01 16:15:00+00:00,11.018,0.25
2021-09-01 16:30:00+00:00,10.278,0.25
2021-09-01 16:45:00+00:00,11.057,0.25
2021-09-01 17:00:00+00:00,10.248,0.25
2021-09-01 17:15:00+00:00,9.945,0.25
2021-09-01 17:30:00+00:00,9.489,0.25
2021-09-01 17:45:00+00:00,10.942,0.25
2021-09-01 18:00:00+00:00,10.574,0.25
2021-09-01 18:15:00+00:00,11.263,0.25
2021-09-01 18:30:00+00:00,11.507,0.25
2021-09-01 18:45:00+00:00,11.393,0.25
2021-09-01 19:00:00+00:00,10.817,0.25
2021-09-01 19:15:00+00:00,10.337,0.25
2021-09-01 19:30:00+00:00,9.306,0.25
2021-09-01 19:45:00+00:00,9.63,0.25
2021-09-01 20:00:00+00:00,9.315,0.25
2021-09-01 20:15:00+00:00,8.964,0.25
2021-09-01 20:30:00+00:00,8.923,0.25
2021-09-01 20:45:00+00:00,8.411,0.25
2021-09-01 21:00:00+00:00,7.882,0.25
2021-09-01 21:15:00+00:00,7.903,0.25
2021-09-01 21:30:00+00:00,7.49,0.25
2021-09-01 21:45:00+00:00,7.348,0.25
2021-09-01 22:00:00+00:00,7.016,0.25
2021-09-01 22:15:00+00:00,7.106,0.25
2021-09-01 22:30:00+00:00,6.882,0.25
2021-09-01 22:45:00+00:00,6.939,0.25
2021-09-01 23:00:00+00:00,6.986,0.25
2021-09-01 23:15:00+00:00,7.276,0.25
2021-09-01 23:30:00+00:00,7.1000000000000005,0.25
2021-09-01 23:45:00+00:00,6.815,0.25
2021-09-02 00:00:00+00:00,7.303,0.25
2021-09-02 00:15:00+00:00,6.805,0.25
2021-09-02 00:30:00+00:00,6.886,0.25
2021-09-02 00:45:00+00:00,7.078,0.25
2021-09-02 01:00:00+00:00,6.622,0.25
2021-09-02 01:15:00+00:00,6.926,0.25
2021-09-02 01:30:00+00:00,7.276,0.25
2021-09-02 01:45:00+00:00,7.149,0.25
2021-09-02 02:00:00+00:00,7.115,0.25
2021-09-02 02:15:00+00:00,7.301,0.25
2021-09-02 02:30:00+00:00,7.663,0.25
2021-09-02 02:45:00+00:00,7.476,0.25
2021-09-02 03:00:00+00:00,7.641,0.25
2021-09-02 03:15:00+00:00,8.153,0.25
2021-09-02 03:30:00+00:00,9.446,0.25
2021-09-02 03:45:00+00:00,12.45,0.25
2021-09-02 04:00:00+00:00,13.969000000000001,0.25
2021-09-02 04:15:00+00:00,11.947000000000001,0.25
2021-09-02 04:30:00+00:00,12.464,0.25
2021-09-02 04:45:00+00:00,13.282,0.25
2021-09-02 05:00:00+00:00,15.713000000000001,0.25
2021-09-02 05:15:00+00:00,15.606,0.25
2021-09-02 05:30:00+00:00,17.334,0.25
2021-09-02 05:45:00+00:00,18.312,0.25
2021-09-02 06:00:00+00:00,17.852,0.25
2021-09-02 06:15:00+00:00,18.192,0.25
2021-09-02 06:30:00+00:00,19.339,0.25
2021-09-02 06:45:00+00:00,18.404,0.25
2021-09-02 07:00:00+00:00,18.359,0.25
2021-09-02 07:15:00+00:00,19.301000000000002,0.25
2021-09-02 07:30:00+00:00,19.028,0.25
2021-09-02 07:45:00+00:00,21.392,0.25
2021-09-02 08:00:00+00:00,20.477,0.25
2021-09-02 08:15:00+00:00,19.449,0.25
2021-09-02 08:30:00+00:00,21.262999999999998,0.25
2021-09-02 08:45:00+00:00,19.669,0.25
2021-09-02 09:00:00+00:00,21.811,0.25
2021-09-02 09:15:00+00:00,20.747,0.25
2021-09-02 09:30:00+00:00,22.626,0.25
2021-09-02 09:45:00+00:00,25.369,0.25
2021-09-02 10:00:00+00:00,22.157,0.25
2021-09-02 10:15:00+00:00,23.907999999999998,0.25
2021-09-02 10:30:00+00:00,22.069,0.25
2021-09-02 10:45:00+00:00,21.728,0.25
2021-09-02 11:00:00+00:00,21.251,0.25
2021-09-02 11:15:00+00:00,19.723,0.25
2021-09-02 11:30:00+00:00,19.858999999999998,0.25
2021-09-02 11:45:00+00:00,19.606,0.25
2021-09-02 12:00:00+00:00,23.919,0.25
2021-09-02 12:15:00+00:00,21.414,0.25
2021-09-02 12:30:00+00:00,20.794,0.25
2021-09-02 12:45:00+00:00,20.125,0.25
2021-09-02 13:00:00+00:00,19.327,0.25
2021-09-02 13:15:00+00:00,19.631999999999998,0.25
2021-09-02 13:30:00+00:00,19.072,0.25
2021-09-02 13:45:00+00:00,18.025,0.25
2021-09-02 14:00:00+00:00,18.498,0.25
2021-09-02 14:15:00+00:00,17.857,0.25
2021-09-02 14:30:00+00:00,17.014,0.25
2021-09-02 14:45:00+00:00,17.566,0.25
2021-09-02 15:00:00+00:00,17.771,0.25
2021-09-02 15:15:00+00:00,16.516,0.25
2021-09-02 15:30:00+00:00,16.538,0.25
2021-09-02 15:45:00+00:00,16.091,0.25
2021-09-02 16:00:00+00:00,13.961,0.25
2021-09-02 16:15:00+00:00,13.477,0.25
2021-09-02 16:30:00+00:00,12.012,0.25
2021-09-02 16:45:00+00:00,12.145,0.25
2021-09-02 17:00:00+00:00,10.959,0.25
2021-09-02 17:15:00+00:00,10.571,0.25
2021-09-02 17:30:00+00:00,10.46,0.25
2021-09-02 17:45:00+00:00,10.642,0.25
2021-09-02 18:00:00+00:00,11.216,0.25
2021-09-02 18:15:00+00:00,13.684,0.25
2021-09-02 18:30:00+00:00,11.955,0.25
2021-09-02 18:45:00+00:00,12.465,0.25
2021-09-02 19:00:00+00:00,11.395,0.25
2021-09-02 19:15:00+00:00,10.863999999999999,0.25
2021-09-02 19:30:00+00:00,10.263,0.25
2021-09-02 19:45:00+00:00,9.451,0.25
2021-09-02 20:00:00+00:00,9.448,0.25
2021-09-02 20:15:00+00:00,9.347,0.25
2021-09-02 20:30:00+00:00,8.808,0.25
2021-09-02 20:45:00+00:00,8.689,0.25
2021-09-02 21:00:00+00:00,8.197,0.25
2021-09-02 21:15:00+00:00,8.197,0.25
2021-09-02 21:30:00+00:00,8.033,0.25
2021-09-02 21:45:00+00:00,7.904,0.25
2021-09-02 22:00:00+00:00,7.664,0.25
2021-09-02 22:15:00+00:00,7.579,0.25
2021-09-02 22:30:00+00:00,7.377,0.25
2021-09-02 22:45:00+00:00,7.275,0.25
2021-09-02 23:00:00+00:00,7.372,0.25
2021-09-02 23:15:00+00:00,7.414,0.25
2021-09-02 23:30:00+00:00,7.339,0.25
2021-09-02 23:45:00+00:00,7.479,0.25
2021-09-03 00:00:00+00:00,7.253,0.25
2021-09-03 00:15:00+00:00,7.426,0.25
2021-09-03 00:30:00+00:00,7.452,0.25
2021-09-03 00:45:00+00:00,7.43,0.25
2021-09-03 01:00:00+00:00,7.891,0.25
2021-09-03 01:15:00+00:00,7.441,0.25
2021-09-03 01:30:00+00:00,7.847,0.25
2021-09-03 01:45:00+00:00,7.497,0.25
2021-09-03 02:00:00+00:00,7.913,0.25
2021-09-03 02:15:00+00:00,8.017,0.25
2021-09-03 02:30:00+00:00,8.112,0.25
2021-09-03 02:45:00+00:00,8.281,0.25
2021-09-03 03:00:00+00:00,8.449,0.25
2021-09-03 03:15:00+00:00,9.953,0.25
2021-09-03 03:30:00+00:00,10.842,0.25
2021-09-03 03:45:00+00:00,12.362,0.25
2021-09-03 04:00:00+00:00,14.350999999999999,0.25
2021-09-03 04:15:00+00:00,11.351,0.25
2021-09-03 04:30:00+00:00,12.971,0.25
2021-09-03 04:45:00+00:00,13.51,0.25
2021-09-03 05:00:00+00:00,13.562,0.25
2021-09-03 05:15:00+00:00,15.350999999999999,0.25
2021-09-03 05:30:00+00:00,14.532,0.25
2021-09-03 05:45:00+00:00,15.818999999999999,0.25
2021-09-03 06:00:00+00:00,17.502,0.25
2021-09-03 06:15:00+00:00,18.763,0.25
2021-09-03 06:30:00+00:00,18.291999999999998,0.25
2021-09-03 06:45:00+00:00,18.692,0.25
2021-09-03 07:00:00+00:00,18.176,0.25
2021-09-03 07:15:00+00:00,19.06,0.25
2021-09-03 07:30:00+00:00,18.822,0.25
2021-09-03 07:45:00+00:00,20.017,0.25
2021-09-03 08:00:00+00:00,21.892,0.25
2021-09-03 08:15:00+00:00,19.865,0.25
2021-09-03 08:30:00+00:00,19.275,0.25
2021-09-03 08:45:00+00:00,19.579,0.25
2021-09-03 09:00:00+00:00,19.134,0.25
2021-09-03 09:15:00+00:00,22.148,0.25
2021-09-03 09:30:00+00:00,21.454,0.25
2021-09-03 09:45:00+00:00,21.107,0.25
2021-09-03 10:00:00+00:00,22.348,0.25
2021-09-03 10:15:00+00:00,22.735,0.25
2021-09-03 10:30:00+00:00,20.145,0.25
2021-09-03 10:45:00+00:00,17.909,0.25
2021-09-03 11:00:00+00:00,19.065,0.25
2021-09-03 11:15:00+00:00,17.489,0.25
2021-09-03 11:30:00+00:00,17.166,0.25
2021-09-03 11:45:00+00:00,19.554,0.25
2021-09-03 12:00:00+00:00,21.386,0.25
2021-09-03 12:15:00+00:00,20.264,0.25
2021-09-03 12:30:00+00:00,18.035,0.25
2021-09-03 12:45:00+00:00,18.504,0.25
2021-09-03 13:00:00+00:00,19.697,0.25
2021-09-03 13:15:00+00:00,18.267,0.25
2021-09-03 13:30:00+00:00,16.797,0.25
2021-09-03 13:45:00+00:00,15.843,0.25
2021-09-03 14:00:00+00:00,14.404,0.25
2021-09-03 14:15:00+00:00,15.998999999999999,0.25
2021-09-03 14:30:00+00:00,15.375,0.25
2021-09-03 14:45:00+00:00,15.402000000000001,0.25
2021-09-03 15:00:00+00:00,16.453,0.25
2021-09-03 15:15:00+00:00,15.824,0.25
2021-09-03 15:30:00+00:00,13.897,0.25
2021-09-03 15:45:00+00:00,14.311,0.25
2021-09-03 16:00:00+00:00,10.854,0.25
2021-09-03 16:15:00+00:00,9.771,0.25
2021-09-03 16:30:00+00:00,9.407,0.25
2021-09-03 16:45:00+00:00,10.804,0.25
2021-09-03 17:00:00+00:00,9.511,0.25
