,date_utc,node,wind,pv,load,residual_load,verhaeltnis_res_load,relative_co2_emission_factor
2,2021-08-31 22:00:00+00:00,Bentwisch,95.0946,0.0,0.0,0.0,0.0,72.57415001657904
7,2021-08-31 22:15:00+00:00,Bentwisch,101.9224,0.0,0.0,0.0,0.0,72.57415001657904
12,2021-08-31 22:30:00+00:00,Bentwisch,104.3098,0.0,0.0,0.0,0.0,72.57415001657904
17,2021-08-31 22:45:00+00:00,Bentwisch,108.2812,0.0,0.0,0.0,0.0,72.57415001657904
22,2021-08-31 23:00:00+00:00,Bentwisch,109.1498,0.0,0.0,0.0,0.0,72.57415001657904
27,2021-08-31 23:15:00+00:00,Bentwisch,108.6588,0.0,0.0,0.0,0.0,72.57415001657904
32,2021-08-31 23:30:00+00:00,Bentwisch,110.4412,0.0,0.0,0.0,0.0,72.57415001657904
37,2021-08-31 23:45:00+00:00,Bentwisch,112.8646,0.0,0.0,0.0,0.0,72.57415001657904
41,2021-09-01 00:00:00+00:00,Bentwisch,114.9596,0.0,227.57,112.6104,0.4948385112273146,322.9855109729305
46,2021-09-01 00:15:00+00:00,Bentwisch,116.447,0.0,222.585,106.138,0.4768425545297302,313.8787177341085
51,2021-09-01 00:30:00+00:00,Bentwisch,119.4654,0.0,218.395,98.9296,0.4529847295038805,301.80554578279055
56,2021-09-01 00:45:00+00:00,Bentwisch,118.9798,0.0,223.655,104.6752,0.4680208356620688,309.4145166311134
61,2021-09-01 01:00:00+00:00,Bentwisch,120.704,0.0,227.216,106.512,0.4687698049433138,309.7935300117937
66,2021-09-01 01:15:00+00:00,Bentwisch,118.3212,0.0,229.487,111.1658,0.4844100101530805,317.7082031492997
71,2021-09-01 01:30:00+00:00,Bentwisch,115.038,0.0,233.899,118.861,0.5081723307923505,329.7330454276473
76,2021-09-01 01:45:00+00:00,Bentwisch,110.3608,0.0,235.752,125.3912,0.5318775662560656,341.7289999452876
81,2021-09-01 02:00:00+00:00,Bentwisch,106.9576,0.0,237.491,130.5334,0.5496351440686174,350.715162352697
86,2021-09-01 02:15:00+00:00,Bentwisch,102.2032,0.0,234.98,132.7768,0.565055749425483,358.5187077247137
91,2021-09-01 02:30:00+00:00,Bentwisch,100.6746,0.0,232.603,131.9284,0.5671827104551532,359.5950491857286
96,2021-09-01 02:45:00+00:00,Bentwisch,102.3766,0.0,230.599,128.2224,0.5560405725957182,353.95660787196687
101,2021-09-01 03:00:00+00:00,Bentwisch,102.2206,0.0,230.989,128.7684,0.5574655070154855,354.6776911329332
106,2021-09-01 03:15:00+00:00,Bentwisch,102.689,0.0,234.365,131.676,0.561841571907068,356.8921840235868
111,2021-09-01 03:30:00+00:00,Bentwisch,100.059,0.0,239.744,139.685,0.5826423184730379,367.4183317229115
116,2021-09-01 03:45:00+00:00,Bentwisch,96.7294,0.0,245.968,149.2386,0.6067399011253496,379.6128322130957
121,2021-09-01 04:00:00+00:00,Bentwisch,89.5046,0.0,242.927,153.4224,0.6315576284233535,392.1717594742804
126,2021-09-01 04:15:00+00:00,Bentwisch,81.9062,0.2492477,240.309,158.1535523,0.658125797618899,405.6164919585696
131,2021-09-01 04:30:00+00:00,Bentwisch,74.4856,1.400473,242.535,166.648927,0.687112899169192,420.2853170089594
136,2021-09-01 04:45:00+00:00,Bentwisch,67.9418,3.506004,239.314,167.866196,0.701447453972605,427.5392701584892
141,2021-09-01 05:00:00+00:00,Bentwisch,62.2222,6.856193,230.919,161.840607,0.700854442466839,427.2391786844984
146,2021-09-01 05:15:00+00:00,Bentwisch,57.2758,12.7777,227.801,157.7475,0.6924794008805931,423.0010171144211
151,2021-09-01 05:30:00+00:00,Bentwisch,50.3394,19.61358,231.203,161.25002,0.6974391335752563,425.5108731298107
156,2021-09-01 05:45:00+00:00,Bentwisch,44.1294,27.47788,231.124,159.51672,0.6901780862221145,421.8364445871351
161,2021-09-01 06:00:00+00:00,Bentwisch,40.7212,36.98372,221.987,144.28208,0.6499573398442251,401.48287143013226
166,2021-09-01 06:15:00+00:00,Bentwisch,36.4186,46.06589,227.039,144.55451,0.6366946207479772,394.77131712803066
171,2021-09-01 06:30:00+00:00,Bentwisch,31.3242,55.36161,236.901,150.21519,0.6340842377195537,393.4503415937222
176,2021-09-01 06:45:00+00:00,Bentwisch,28.5896,64.69528,243.797,150.51212,0.6173665795723491,384.9904270283389
181,2021-09-01 07:00:00+00:00,Bentwisch,27.4294,74.6229,245.133,143.0807,0.5836859990290983,367.9464827510087
186,2021-09-01 07:15:00+00:00,Bentwisch,25.323,83.99927,236.824,127.50173,0.5383817940749248,345.0204425131892
191,2021-09-01 07:30:00+00:00,Bentwisch,24.0636,92.95303,232.364,115.34737,0.4964080924755986,323.7797922739948
196,2021-09-01 07:45:00+00:00,Bentwisch,22.1112,101.2301,235.647,112.3057,0.4765844674449494,313.7481136346317
201,2021-09-01 08:00:00+00:00,Bentwisch,22.1432,109.4483,239.357,107.7655,0.4502291556127458,300.41109690171334
206,2021-09-01 08:15:00+00:00,Bentwisch,23.191,116.2938,241.182,101.6972,0.4216616497085188,285.95460681394025
211,2021-09-01 08:30:00+00:00,Bentwisch,23.4298,122.7057,241.736,95.6005,0.3954748155012079,272.702847615314
216,2021-09-01 08:45:00+00:00,Bentwisch,24.8398,128.4176,239.769,86.5116,0.3608122818212529,255.16198926242484
221,2021-09-01 09:00:00+00:00,Bentwisch,26.5804,133.7254,238.782,78.4762,0.3286520759521236,238.8874254651345
226,2021-09-01 09:15:00+00:00,Bentwisch,26.6718,137.7855,238.022,73.5647,0.3090668089504331,228.976367103038
231,2021-09-01 09:30:00+00:00,Bentwisch,25.3262,141.0235,238.555,72.2053,0.3026777891890758,225.74322518437367
236,2021-09-01 09:45:00+00:00,Bentwisch,25.5494,144.0294,231.117,61.5382,0.2662642730738111,207.31628807106404
241,2021-09-01 10:00:00+00:00,Bentwisch,25.4902,146.5816,232.4,60.3282,0.2595877796901893,203.93767109466464
246,2021-09-01 10:15:00+00:00,Bentwisch,26.3684,148.4166,229.823,55.038,0.2394799476118578,193.76217043662524
251,2021-09-01 10:30:00+00:00,Bentwisch,27.4258,149.6957,228.302,51.1805,0.2241789384236668,186.0191463027166
256,2021-09-01 10:45:00+00:00,Bentwisch,28.5492,150.4406,226.303,47.3132,0.2090701404753803,178.37339001899238
261,2021-09-01 11:00:00+00:00,Bentwisch,30.317,150.9804,223.845,42.5476,0.1900761687775022,168.76155465267192
266,2021-09-01 11:15:00+00:00,Bentwisch,31.35,150.9144,225.203,42.9386,0.1906661989405114,169.0601374282081
271,2021-09-01 11:30:00+00:00,Bentwisch,32.375,150.5119,228.836,45.9491,0.200794892412033,174.1857286248648
276,2021-09-01 11:45:00+00:00,Bentwisch,34.304,149.6585,231.882,47.9195,0.2066546778102655,177.15105327763715
281,2021-09-01 12:00:00+00:00,Bentwisch,34.6846,148.4059,236.715,53.6245,0.2265361299452928,187.2119951282883
286,2021-09-01 12:15:00+00:00,Bentwisch,36.452,146.6808,237.886,54.7532,0.2301657096256189,189.04873169350773
291,2021-09-01 12:30:00+00:00,Bentwisch,38.2156,144.3766,239.331,56.7388,0.2370725062779163,192.5438928628777
296,2021-09-01 12:45:00+00:00,Bentwisch,38.8024,141.6396,244.659,64.217,0.2624755271622952,205.39900597095547
301,2021-09-01 13:00:00+00:00,Bentwisch,37.8782,138.4544,250.264,73.9314,0.2954136431927884,222.06722858377688
306,2021-09-01 13:15:00+00:00,Bentwisch,38.8664,134.4746,251.187,77.846,0.3099125352824787,229.404344063196
311,2021-09-01 13:30:00+00:00,Bentwisch,42.291,129.7995,249.198,77.1075,0.3094226277899501,229.15642802763412
316,2021-09-01 13:45:00+00:00,Bentwisch,44.5784,124.3538,248.921,79.9888,0.3213421125577994,235.18824312467
321,2021-09-01 14:00:00+00:00,Bentwisch,46.3178,118.0371,255.385,91.0301,0.3564426258394189,252.95073957895087
326,2021-09-01 14:15:00+00:00,Bentwisch,46.4286,111.0057,261.005,103.5707,0.3968150035439934,273.38104525781154
331,2021-09-01 14:30:00+00:00,Bentwisch,45.4108,103.3277,260.056,111.3175,0.4280520349463192,289.18843972735687
336,2021-09-01 14:45:00+00:00,Bentwisch,47.7028,94.95191,252.101,109.44629,0.4341366753801055,292.26755151308964
341,2021-09-01 15:00:00+00:00,Bentwisch,47.1902,85.02315,249.637,117.42365,0.4703775882581508,310.6071433398928
346,2021-09-01 15:15:00+00:00,Bentwisch,50.5864,75.03135,253.706,128.08825,0.5048688245449457,328.06131722426085
351,2021-09-01 15:30:00+00:00,Bentwisch,53.9416,64.21011,252.887,134.73529,0.5327885181919197,342.18998410243665
356,2021-09-01 15:45:00+00:00,Bentwisch,51.6808,52.83917,252.875,148.35503,0.586673376173999,369.45823488745634
361,2021-09-01 16:00:00+00:00,Bentwisch,49.5094,41.43849,254.32,163.37211,0.6423879757785467,397.6524202541325
366,2021-09-01 16:15:00+00:00,Bentwisch,45.6722,31.26517,252.897,175.95963,0.6957758692273929,424.6691838119247
371,2021-09-01 16:30:00+00:00,Bentwisch,41.6164,21.63399,256.593,193.34261,0.7534991601485621,453.879860649907
376,2021-09-01 16:45:00+00:00,Bentwisch,39.1064,13.46969,252.973,200.39691,0.7921671878026508,473.4476857295321
381,2021-09-01 17:00:00+00:00,Bentwisch,34.2754,7.53067,249.904,208.09793,0.8327114812087841,493.9649887697952
386,2021-09-01 17:15:00+00:00,Bentwisch,33.9148,4.194765,251.419,213.309435,0.8484220961820705,501.9152925308432
391,2021-09-01 17:30:00+00:00,Bentwisch,37.6714,1.96011,248.43,208.79849,0.8404721249446524,497.8922363782649
396,2021-09-01 17:45:00+00:00,Bentwisch,41.5096,0.5168957,248.427,206.4005043,0.830829597024478,493.0126676204459
401,2021-09-01 18:00:00+00:00,Bentwisch,46.6102,0.000562912,256.484,209.873237088,0.818270290107765,486.6570726812357
406,2021-09-01 18:15:00+00:00,Bentwisch,51.3584,0.0,264.167,212.8086,0.8055835891689725,480.2370104264816
411,2021-09-01 18:30:00+00:00,Bentwisch,58.6142,0.0,265.336,206.7218,0.7790944312117466,466.832261313069
416,2021-09-01 18:45:00+00:00,Bentwisch,64.9578,0.0,265.087,200.1292,0.7549566746011686,454.61743092669394
421,2021-09-01 19:00:00+00:00,Bentwisch,69.0584,0.0,268.958,199.8996,0.7432372340662854,448.68684753958354
426,2021-09-01 19:15:00+00:00,Bentwisch,74.5324,0.0,270.177,195.6446,0.7241349189605332,439.0201853568354
431,2021-09-01 19:30:00+00:00,Bentwisch,78.8006,0.0,269.13,190.3294,0.7072024672091554,430.451575211934
436,2021-09-01 19:45:00+00:00,Bentwisch,77.386,0.0,268.148,190.762,0.7114056416605755,432.5785774779997
441,2021-09-01 20:00:00+00:00,Bentwisch,76.3102,0.0,262.676,186.3658,0.7094892567269183,431.6087973407119
446,2021-09-01 20:15:00+00:00,Bentwisch,74.3102,0.0,260.043,185.7328,0.714238798967863,434.01228718535793
451,2021-09-01 20:30:00+00:00,Bentwisch,71.8626,0.0,254.613,182.7504,0.7177575379104758,435.7929331688009
456,2021-09-01 20:45:00+00:00,Bentwisch,74.5222,0.0,246.705,172.1828,0.6979299162967917,425.7592320720618
